Rank,Name,Symbol,marketcap,price (USD),country,page numbers,Report link,sector,industry
104,Epiroc,EPI-A.ST,36084243997,29.8453,Sweden,,,,
107,Hannover Rück,HNR1.DE,35417744197,293.686,Germany,,,,
113,H&amp;M,HM-B.ST,33303152589,20.834,Sweden,,,,
115,PKO Bank Polski,PKO.WA,32641357758,26.1131,Poland,,,,
117,OTP Bank,OTP.BD,32336190827,126.705,Hungary,,,,
119,Experian,EXPGF,32049850368,35.11,Ireland,,,,
120,Banca Monte dei Paschi di Siena,BMPS.MI,31972004708,10.5226,Italy,,,,
121,ČEZ Group,CEZ.PR,31967184492,59.5502,Czech Republic,,,,
138,BioNTech,BNTX,26754236416,106.62,Germany,,,,
139,Flutter Entertainment,FLUT,26733379584,152.53,Ireland,,,,
144,AerCap,AER,24975849472,140.07,Ireland,,,,
147,Steris,STE,24835391488,252.16,Ireland,,,,
150,Pernod Ricard,RI.PA,23971697633,95.1998,France,,,,
155,Alfa Laval,ALFA.ST,23397297488,56.6073,Sweden,,,,
157,Industrivarden,INDU-A.ST,23137971844,53.5241,Sweden,,,,
158,Smurfit Westrock,SW,23058761728,44.14,Ireland,,,,
160,Banco BPM,BAMI.MI,22822536673,15.1809,Italy,,,,
166,Nebius Group,NBIS,21680601088,86.1,Netherlands,,,,
169,Essity,ESSITY-B.ST,21089135171,30.9211,Sweden,,,,
171,Amer Sports,AS,20801974272,37.51,Finland,,,,
177,Boliden,BOL.ST,19676744135,69.2952,Sweden,,,,
183,Puig Brands,PUIG.MC,18719377790,19.5673,Spain,,,,
187,Mediobanca,MB.MI,18072016793,22.4107,Italy,,,,
189,Aptiv,APTV,17939052544,82.38,Ireland,,,,
197,Bank Pekao (Bank Polska Kasa Opieki),PEO.WA,16934973666,64.5216,Poland,,,,
199,Unipol Assicurazioni,UNI.MI,16615334994,23.1615,Italy,,,,
200,Santander Polska,SPL.WA,16612421993,162.565,Poland,,,,
208,Lifco,LIFCO-B.ST,16160646882,35.5792,Sweden,,,,
210,Banco Comercial Português (Millennium bcp),BCP.LS,15994879119,1.0804,Portugal,,,,
214,Moncler,MONC.MI,15529077757,57.1766,Italy,,,,
215,Allegion,ALLE,15465964544,179.77,Ireland,,,,
216,BE Semiconductor,BESI.AS,15419535906,195.673,Netherlands,,,,
224,Lundbergföretagen,LUND-B.ST,15059057575,60.722,Sweden,,,,
226,Galp Energia,GZ5.F,14667018170,19.8806,Portugal,,,,
229,SPEEH Hidroelectrica,H2O.RO,14505717714,32.2491,Romania,,,,
234,Eurofins Scientific,ERF.PA,14169099673,80.3973,Luxembourg,,,,
235,Fresenius Medical Care,FMS,14058384384,24.08,Germany,,,,
236,James Hardie Industries,JHX,13709467648,23.64,Ireland,,,,
239,Ascendis Pharma,ASND,13572955136,222.15,Denmark,,,,
244,Prada,1913.HK,13257170255,5.18096,Italy,,,,
245,bioMérieux,BIM.PA,13233355184,112.083,France,,,,
246,Piraeus Financial Holdings,TPEIR.AT,13071458335,10.4635,Greece,,,,
247,Lufthansa,LHA.DE,13051167202,10.8915,Germany,,,,
248,Rexel,RXL.PA,13031643646,44.4313,France,,,,
252,SKF (Svenska Kullagerfabriken),SKF-B.ST,12557963287,27.5606,Sweden,,,,
253,Skanska,SKA-B.ST,12497312599,30.1891,Sweden,,,,
259,Alpha Services and Holdings,ALPHA.AT,12082740188,5.23764,Greece,,,,
260,D'Ieteren Group,DIE.BR,12061232313,227.24,Belgium,,,,
262,Symrise,SY1.DE,11990848959,85.7886,Germany,,,,
265,Acciona,ANA.MC,11895593227,218.255,Spain,,,,
268,ICON plc,ICLR,11711704064,150.59,Ireland,,,,
271,Thyssenkrupp,TKA.F,11489597437,13.8863,Germany,,,,
272,Komerční banka,KOMB.PR,11476875495,60.7705,Czech Republic,,,,
274,Millicom,TIGO,11186339840,66.95,Luxembourg,,,,
281,Ayvens,AYV.PA,10657617397,13.6084,France,,,,
282,Renault,RNO.PA,10578590939,36.498,France,,,,
285,CTP N.V.,CTPNV.AS,10494472328,21.8964,Netherlands,,,,
286,Sofina,SOF.VI,10421472677,283.991,Belgium,,,,
287,Sagax,SAGA-B.ST,10184271334,21.9154,Sweden,,,,
290,Lotus Bakeries,LOTB.BR,10138661377,12485.2,Belgium,,,,
291,Securitas AB,SECU-B.ST,10104167542,17.651,Sweden,,,,
292,Rational AG,RAA.F,10075449487,886.143,Germany,,,,
293,Deutsche Wohnen,DWNI.DE,10066511629,25.3606,Germany,,,,
294,Jazz Pharmaceuticals,JAZZ,10056627200,165.5,Ireland,,,,
298,Romgaz,SNG.RO,9843389957,2.55392,Romania,,,,
299,Addtech AB,ADDT-B.ST,9794957663,36.2834,Sweden,,,,
304,Trelleborg AB,TREL-B.ST,9646885611,42.8659,Sweden,,,,
305,Nemetschek,NEM.F,9585561531,83.0575,Germany,,,,
306,Autoliv,ALV,9555681280,125.79,Sweden,,,,
309,Indutrade,INDT.ST,9455062988,25.9524,Sweden,,,,
312,Abivax,ABVX,9304475648,117.67,France,,,,
315,Fraport,FRA.DE,9055619123,98.0137,Germany,,,,
318,Fastighets AB Balder,BALD-B.ST,8832118501,7.42195,Sweden,,,,
321,Voestalpine,VAS.F,8660203536,49.8463,Austria,,,,
322,Merlin Properties,MRL.MC,8637175643,15.3464,Spain,,,,
324,Ternium,TX,8531531776,43.46,Luxembourg,,,,
325,INWIT,INW.MI,8497051809,9.41121,Italy,,,,
327,Aurubis,NDA.F,8480939972,194.254,Germany,,,,
329,SSAB,SSAB-B.ST,8466800657,8.49554,Sweden,,,,
333,Nordnet AB,SAVE.ST,8286581209,33.3167,Sweden,,,,
334,NIBE Industrier,NIBE-B.ST,8226150391,4.0803,Sweden,,,,
345,Sodexo,SW.PA,7790074713,53.4169,France,,,,
347,Klarna,KLAR,7741273600,20.52,Sweden,,,,
348,OTE Group,OTE.F,7735278968,18.9525,Greece,,,,
349,A1 Telekom Austria,TA1.F,7716055056,11.1374,Austria,,,,
355,Beijer Ref,BEIJ-B.ST,7423820057,14.6454,Sweden,,,,
357,AAK,AAK.ST,7342831786,28.1928,Sweden,,,,
359,Saipem,SPM.MI,7261708620,3.7101,Italy,,,,
360,KBC Ancora,KBCA.BR,7211324017,93.6392,Belgium,,,,
364,Birkenstock,BIRK,7071187456,38.45,Germany,,,,
366,Gecina,GFC.PA,6900351507,93.1662,France,,,,
367,Warehouses De Pauw,WDP.BR,6833448881,29.0612,Belgium,,,,
368,TKMS,TKMS.DE,6830782340,107.531,Germany,,,,
369,Merus,MRUS,6826245632,90,Netherlands,,,,
377,Compagnie de l'Odet,ODET.PA,6578261852,1560.65,France,,,,
379,Oberbank,OBS.VI,6472494927,91.7475,Austria,,,,
382,AUTO1,AG1.F,6398037607,29.0612,Germany,,,,
394,Getinge,GETI-B.ST,6156370583,22.603,Sweden,,,,
400,Bank Millennium,MIL.WA,6040364052,4.98346,Poland,,,,
403,Castellum,CAST.ST,5979013997,12.1499,Sweden,,,,
404,Sweco,SWEC-A.ST,5970501731,16.5253,Sweden,,,,
406,Holmen,HOLM-B.ST,5966189267,38.8843,Sweden,,,,
407,Valmet,VALMT.HE,5950851180,32.3008,Finland,,,,
411,Corporación Financiera Alba,ALB.MC,5871019284,97.9515,Spain,,,,
412,NOBA Bank Group AB,NOBA.ST,5819331105,11.6387,Sweden,,,,
414,Lottomatica Group,LTMC.MI,5814131801,24.4739,Italy,,,,
416,Alkermes,ALKS,5764252160,34.91,Ireland,,,,
418,DCC plc,DCC.L,5685335569,66.555,Ireland,,,,
419,OHB SE,OHB.DE,5683829675,296.76,Germany,,,,
421,TUI,TUI1.F,5591460224,11.0192,Germany,,,,
422,1&1,1U1.DE,5575804816,31.6269,Germany,,,,
424,Tauron Polska,TPE.WA,5545793699,3.16441,Poland,,,,
426,Fuchs Petrolub,FPE.F,5461966838,35.5285,Germany,,,,
429,Danieli &amp; C. Officine Meccaniche,DAN.MI,5415766979,75.668,Italy,,,,
430,Flughafen Wien (Vienna Airport),FLU.VI,5374802135,64.0813,Austria,,,,
431,Logista (Compañía de Distribución Integral Logista),LOG.MC,5232638292,39.6311,Spain,,,,
439,flatexDEGIRO AG,FTK.DE,4953953320,46.2994,Germany,,,,
443,Aumovio SE,AMV0.DE,4875977741,48.7349,Germany,,,,
452,Zealand Pharma,ZEAL.CO,4540828110,64.4661,Denmark,,,,
453,DMG Mori Aktiengesellschaft,GIL.F,4521449514,56.9875,Germany,,,,
455,Sectra AB,SECT-B.ST,4457432187,23.1354,Sweden,,,,
468,Jumbo S.A.,5JB.F,4315954877,30.7401,Greece,,,,
471,Webuild S.p.A.,WBD.MI,4249084335,4.27288,Italy,,,,
475,Stevanato Group,STVN,4231557120,15.5,Italy,,,,
478,Gek Terna,GEKTERNA.AT,4201026675,41.8775,Greece,,,,
480,Aedifica,AED.BR,4188248164,88.0823,Belgium,,,,
481,IONOS Group,IOS.DE,4183820072,30.2081,Germany,,,,
482,Athens International Airport,AIA.AT,4175807738,13.4902,Greece,,,,
485,Mandatum,MANTA.HE,4122374925,8.20052,Finland,,,,
489,Cofinimmo,COFB.BR,3971269848,104.28,Belgium,,,,
490,Springer Nature AG,SPG.DE,3967495528,19.5318,Germany,,,,
491,Hiab Oyj,HIAB.HE,3947553375,61.1847,Finland,,,,
496,NewAmsterdam Pharma Company,NAMS,3889304320,34.3,Netherlands,,,,
497,L.D.C. S.A.,LOUP.PA,3880608375,111.729,France,,,,
498,Trigano,TRI.PA,3877178798,200.993,France,,,,
500,Inmobiliaria Colonial,COL.MC,3856249330,6.28399,Spain,,,,
501,Munters Group AB,MTRS.ST,3844575857,21.0614,Sweden,,,,
503,Wienerberger,WIB.F,3826515132,34.9019,Austria,,,,
506,Shurgard Self Storage,SHUR.BR,3766465606,37.302,Luxembourg,,,,
510,Société Foncière Lyonnaise,FLY.PA,3702190127,86.0641,France,,,,
511,Ambu,AMBU-B.CO,3698098651,13.9125,Denmark,,,,
513,Brederode,BREB.BR,3686585917,125.798,Luxembourg,,,,
515,VEON,VEON,3630548480,52.62,Netherlands,,,,
521,Samsonite International,1SO.F,3539323866,2.51714,Luxembourg,,,,
522,VGP NV,VGP.BR,3497727951,128.163,Belgium,,,,
525,Catena AB,CATE.ST,3472789545,52.3041,Sweden,,,,
527,Constellium,CSTM,3452195328,24.74,France,,,,
532,SYNLAB,SYAB.VI,3307393271,15.049,Germany,,,,
534,NH Hotel Group,NHH.MC,3280482487,7.53012,Spain,,,,
539,Groupe SEB,SK.PA,3251770907,59.3521,France,,,,
541,Peab,PEAB-B.ST,3194159347,11.3237,Sweden,,,,
543,Wihlborgs Fastigheter AB,WIHL.ST,3167521607,10.3033,Sweden,,,,
545,ID Logistics Group,IDL.PA,3143969117,481.792,France,,,,
546,Grenergy Renovables,GRE.MC,3130670918,111.492,Spain,,,,
547,Loomis AB,LOOMIS.ST,3108416146,46.4482,Sweden,,,,
549,Groupe Lagardère,MMB.PA,3102351107,21.8964,France,,,,
552,Viscofan,VIS.MC,3021114539,65.8548,Spain,,,,
553,BioArctic AB,BIOA-B.ST,3016159957,34.0265,Sweden,,,,
554,Bank für Tirol und Vorarlberg,BTS.VI,3004789922,80.9884,Austria,,,,
556,LEW (Lechwerke),LEC.F,2954418637,83.353,Germany,,,,
557,Bakkafrost,BAKKA.OL,2947889568,49.7245,Denmark,,,,
558,Fabege AB,FABG.ST,2941146581,9.34953,Sweden,,,,
559,HUGO BOSS,BOSS.DE,2938368545,42.5751,Germany,,,,
560,Eutelsat,ETL.PA,2931604733,2.48877,France,,,,
564,HEXPOL AB,HPOL-B.ST,2891794474,8.39572,Sweden,,,,
565,Técnicas Reunidas,TRE.MC,2871621492,36.7699,Spain,,,,
567,Grupa Kety,KTY.WA,2860541582,291.216,Poland,,,,
569,XTB S.A.,XTB.WA,2840211689,24.1774,Poland,,,,
571,CA Immo,BZY.F,2832635518,29.2504,Austria,,,,
574,Husqvarna,HUSQ-A.ST,2806202320,4.89658,Sweden,,,,
575,KWS,KWS.F,2805273361,85.0083,Germany,,,,
576,Asmodee Group AB,ASMDEE-B.ST,2804355906,12.0002,Sweden,,,,
578,Carmila,CARM.PA,2785297612,19.9574,France,,,,
579,MFE-Mediaforeurope,MFEA.MI,2784393531,3.56585,Italy,,,,
586,Carl Zeiss Meditec,AFXA.F,2721899323,30.9766,Germany,,,,
588,Elecnor,ENO.MC,2713515005,32.0407,Spain,,,,
590,Kojamo,KOJAMO.HE,2711170439,11.2898,Finland,,,,
591,Aktor,AKTR.AT,2700983172,13.2419,Greece,,,,
595,Hufvudstaden AB,HUFV-A.ST,2693350485,13.8613,Sweden,,,,
597,Anima Holding,ANIM.MI,2678089665,8.23481,Italy,,,,
598,Société Industrielle et Financière de l'Artois,ARTO.PA,2675218821,10049.7,France,,,,
602,Globant,GLOB,2644544000,60.03,Luxembourg,,,,
603,Ermenegildo Zegna,ZGN,2639988736,10.39,Italy,,,,
604,Azelis Group,AZE.BR,2612182830,10.7295,Belgium,,,,
605,Solaria Energía,SLR.MC,2611884093,20.9033,Spain,,,,
606,Immofinanz,IMO1.F,2609603156,18.7869,Austria,,,,
608,Financière Moncey Société anonyme,FMONC.PA,2600924944,139.513,France,,,,
609,Star Bulk Carriers,SBLK,2597179392,22.72,Greece,,,,
610,Electrolux,ELUX-A.ST,2595012453,9.59352,Sweden,,,,
612,DO &amp; CO Aktiengesellschaft,DOC.VI,2578996052,234.807,Austria,,,,
614,Ceconomy,CEC.DE,2547152533,5.24947,Germany,,,,
619,SCHOTT Pharma,1SXP.DE,2528644744,16.7888,Germany,,,,
620,Optima bank,OPTIMA.AT,2527754434,11.4211,Greece,,,,
621,Grafton Group,GFTU.L,2515224261,13.0223,Ireland,,,,
622,Bufab AB,BUFAB.ST,2513234419,13.2424,Sweden,,,,
623,VusionGroup,VU.PA,2497952891,149.208,France,,,,
624,Röko AB,ROKO-B.ST,2490614542,170.31,Sweden,,,,
626,NCC,NCC-B.ST,2481549647,25.3757,Sweden,,,,
627,Cosmo Pharmaceuticals,C43.F,2474137597,146.607,Ireland,,,,
628,Tradegate Exchange,T2G.F,2464388984,101.088,Germany,,,,
636,Elekta AB,EKTA-B.ST,2356756007,6.14429,Sweden,,,,
637,Atrium Ljungberg,ATRLJ-B.ST,2354912773,3.73482,Sweden,,,,
640,Südzucker,SZU.F,2322968958,11.3798,Germany,,,,
641,Clas Ohlson AB,CLAS-B.ST,2320774671,36.5108,Sweden,,,,
642,AT&amp;S Austria Technologie &amp; Systemtechnik,ATS.VI,2315015493,59.5886,Austria,,,,
643,Mainova,MNV6.F,2314671809,420.903,Germany,,,,
646,Alleima AB,ALLEI.ST,2286136636,9.1388,Sweden,,,,
647,Neinor Homes,HOME.MC,2283470106,23.1733,Spain,,,,
649,Kinnevik,KINV-A.ST,2258471546,8.01863,Sweden,,,,
650,KSB SE &amp; Co. KGaA,KSB.DE,2256971472,1288.72,Germany,,,,
652,Gelsenwasser,WWG.F,2214988743,644.36,Germany,,,,
653,Exail Technologies,EXA.PA,2203285021,129.818,France,,,,
655,Ströer,SAX.F,2196787560,39.0754,Germany,,,,
656,Elvalhalcor Hellenic Copper and Aluminium Industry,ELHA.AT,2189583209,5.84062,Greece,,,,
658,Cadeler A/S,CDLR,2140551936,24.43,Denmark,,,,
659,Avadel Pharmaceuticals,AVDL,2128905472,21.69,Ireland,,,,
660,Antin Infrastructure Partners,ANTIN.PA,2112478871,11.8231,France,,,,
663,OEM International,OEM-B.ST,2095742946,15.1056,Sweden,,,,
664,Adient,ADNT,2094348544,26.46,Ireland,,,,
665,Bravida Holding,BRAV.ST,2094054621,10.2368,Sweden,,,,
667,Sinch,SINCH.ST,2063655002,2.6751,Sweden,,,,
670,Solvac,SOLV.BR,2047029827,95.7673,Belgium,,,,
671,Believe S.A.,BLV.PA,2046442441,20.3214,France,,,,
672,Hamburger Hafen,HHFA.F,2043762482,26.9567,Germany,,,,
673,Navitas Semiconductor,NVTS,2042196096,8.86,Ireland,,,,
674,Peugeot Invest Société anonyme,PEUG.PA,2038799115,82.1707,France,,,,
675,Storskogen Group,STOR-B.ST,2037701405,1.21389,Sweden,,,,
677,AQ Group,AQ.ST,2024602064,22.0706,Sweden,,,,
678,Montea Comm,MONT.BR,2017704539,86.6635,Belgium,,,,
679,Meliá Hotels International,MEL.MC,2017589978,9.16292,Spain,,,,
680,Systemair AB,SYSR.ST,2016217678,9.71552,Sweden,,,,
681,Perrigo,PRGO,2014815616,14.64,Ireland,,,,
687,Friedrich Vorwerk Group,VH2.DE,1979878253,97.5408,Germany,,,,
688,Argan SA,ARG.PA,1978881252,76.8503,France,,,,
692,Pfeiffer Vacuum,PFV.F,1941721903,196.264,Germany,,,,
694,Gimv NV,GIMB.BR,1914969328,52.0218,Belgium,,,,
696,Faes Farma,FAE.MC,1909962073,6.1362,Spain,,,,
697,Caisse Régionale de Crédit Agricole Mutuel Nord de France,CNDF.PA,1904467062,32.5136,France,,,,
699,Pluxee,PLX.PA,1897543742,13.301,France,,,,
701,Caisse Régionale de Crédit Agricole Mutuel du Languedoc,CRLA.PA,1891692335,95.7673,France,,,,
702,Realia Business,RLIA.MC,1874045345,1.24143,Spain,,,,
704,Cimpress,CMPR,1866173696,75.64,Ireland,,,,
708,Siltronic,WAF.F,1842634193,61.4211,Germany,,,,
709,Rai Way,RWAY.MI,1838071109,6.84559,Italy,,,,
710,Metrovacesa,MVC.MC,1836956973,12.1187,Spain,,,,
712,NP3 Fastigheter AB,NP3.ST,1820138695,29.5569,Sweden,,,,
715,Métropole Télévision (Groupe M6),MMT.PA,1796761068,14.2823,France,,,,
716,Jeudan,JDAN.CO,1788334612,32.2884,Denmark,,,,
718,Polestar,PSNY,1777079936,19.42,Sweden,,,,
720,Hacksaw AB,HACK.ST,1764074627,6.09993,Sweden,,,,
722,Wüstenrot &amp; Württembergische,WUW.F,1761353888,18.6332,Germany,,,,
723,Verbio,VBK.F,1755226596,27.5479,Germany,,,,
724,Proeduca Altus,PRO.MC,1746356315,38.6676,Spain,,,,
729,Afry AB,AFRY.ST,1719532191,15.1833,Sweden,,,,
730,Pharvaris,PHVS,1716228864,26.42,Netherlands,,,,
731,Deutsche EuroShop,DEQ.F,1713705290,22.8423,Germany,,,,
734,Bure Equity AB,BURE.ST,1681218705,22.5808,Sweden,,,,
735,Embracer Group,EMBRAC-B.ST,1676689892,5.16109,Sweden,,,,
737,Eurocommercial Properties,ECMPA.AS,1671156866,30.5628,Netherlands,,,,
739,Nexa Resources,NEXA,1640914432,12.39,Luxembourg,,,,
741,Nürnberger Versicherung,NBG6.F,1633673053,141.878,Germany,,,,
742,Atoss,AOF.F,1623627671,101.206,Germany,,,,
744,Drägerwerk,DRW8.F,1620607156,80.3973,Germany,,,,
745,Industrie De Nora,DNR.MI,1620211715,8.15205,Italy,,,,
746,OVH Groupe,OVH.PA,1618233450,10.759,France,,,,
750,uniQure,QURE,1597781120,25.65,Netherlands,,,,
751,Fluxys Belgium,FLUX.BR,1590856160,22.6413,Belgium,,,,
754,Dalata Hotel Group,DHG.IR,1586221998,7.50058,Ireland,,,,
756,Xior Student Housing,XIOR.BR,1578954641,33.8141,Belgium,,,,
757,Derichebourg,DBG.PA,1567919522,9.89596,France,,,,
760,Vimian Group,VIMIAN.ST,1555611111,2.95236,Sweden,,,,
762,Nolato AB,NOLA-B.ST,1552058882,5.76166,Sweden,,,,
763,Newag,NWG.WA,1551376197,34.475,Poland,,,,
765,Dole PLC,DOLE,1544489856,16.23,Ireland,,,,
766,Pharma Mar,PHM.MC,1541969784,90.1513,Spain,,,,
768,Cloetta,CLA-B.ST,1538257682,5.36572,Sweden,,,,
769,Ferretti,F3T1.F,1537623867,4.41003,Italy,,,,
770,Wavestone SA,WAVE.PA,1532821824,62.4261,France,,,,
771,Planisware,PLNW.PA,1530709930,21.9437,France,,,,
772,New Wave Group,NEWA-B.ST,1524580614,11.49,Sweden,,,,
773,Paradox Interactive,PDX.ST,1517016654,14.3626,Sweden,,,,
774,PFISTERER Holding SE,PFSE.DE,1516850880,83.826,Germany,,,,
775,Betsson AB,BETS-B.ST,1486216135,10.7969,Sweden,,,,
777,Nexus AG,NXU.DE,1470436668,85.1369,Germany,,,,
778,Jumia,JMIA,1458532224,11.91,Germany,,,,
779,Douglas Group,DOU.DE,1445106410,13.2892,Germany,,,,
782,Ramsay Générale de Santé,GDS.PA,1435402442,13.0054,France,,,,
783,Dometic Group,DOM.ST,1431575434,4.48067,Sweden,,,,
784,Rusta AB,RUSTA.ST,1422391518,9.29962,Sweden,,,,
785,Cibus Nordic Real Estate,CIBUS.ST,1421131463,17.3127,Sweden,,,,
787,Banco di Desio e della Brianza,BDB.MI,1417652240,10.7827,Italy,,,,
788,engcon AB,ENGCON-B.ST,1414390429,9.28298,Sweden,,,,
789,H&amp;K AG (Heckler &amp; Koch),MLHK.PA,1409578464,39.7257,Germany,,,,
790,thyssenkrupp nucera,NCH2.DE,1387304223,10.8359,Germany,,,,
791,Telia Lietuva,ZWS.F,1384550059,2.37645,Lithuania,,,,
793,MBB SE,MBB.DE,1379797503,255.38,Germany,,,,
794,Intercos,ICOS.MI,1374755441,14.5188,Italy,,,,
795,Adtran Networks,ADV.DE,1372446659,26.3656,Germany,,,,
796,atai Life Sciences,ATAI,1369319040,3.77,Germany,,,,
797,B.F. S.p.A.,BFG.MI,1368281589,5.22582,Italy,,,,
799,Vitrolife AB,VITR.ST,1364010858,10.0704,Sweden,,,,
800,Bilia AB,BILI-A.ST,1359675680,14.7618,Sweden,,,,
802,Hemnet Group AB,HEM.ST,1355861220,14.5178,Sweden,,,,
804,About You,YOU.DE,1349692882,7.76846,Germany,,,,
805,EL.En. S.p.A. (Elen Group),ELN.MI,1349402572,16.8361,Italy,,,,
808,VIEL &amp; Cie,VIL.PA,1317901678,20.9269,France,,,,
811,Klöckner &amp; Co,KCO.DE,1302009883,13.0527,Germany,,,,
813,Immatics,IMTX,1291034752,9.63,Germany,,,,
815,Develia,DVL.WA,1268791750,2.73838,Poland,,,,
817,BayWa,BYW.F,1266566609,19.7446,Germany,,,,
821,Bonesupport Holding AB,BONEX.ST,1252686908,19.0207,Sweden,,,,
822,Norion Bank,NORION.ST,1241853167,6.54356,Sweden,,,,
823,Puuilo,PUUILO.HE,1237602333,14.6725,Finland,,,,
824,Aedas Homes,AEDAS.MC,1228441586,28.3164,Spain,,,,
825,Zeal Network,TIMA.F,1227379586,58.1698,Germany,,,,
826,Inventiva,IVA,1221498112,5.88,France,,,,
828,Vetoquinol,VETO.PA,1217106140,102.861,France,,,,
829,Caisse Régionale de Crédit Agricole Mutuel Alpes Provence,CRAP.PA,1216739529,163.75,France,,,,
830,Mercialys,MERY.PA,1216327516,13.0291,France,,,,
832,Adecoagro,AGRO,1212361344,8.57,Luxembourg,,,,
835,ChemoMetec,CHEMM.CO,1189903722,68.3755,Denmark,,,,
837,GasLog,GLOP-PA,1184410496,25.81,Greece,,,,
838,Caisse régionale de Crédit Agricole Mutuel Atlantique Vendée,CRAV.PA,1181158464,160.156,France,,,,
839,TF Bank AB,TFBANK.ST,1169887884,18.0957,Sweden,,,,
841,DBV Technologies,DBVT,1168416640,21.26,France,,,,
842,Sedlmayr Grund und Immobilien AG,SPB.F,1154626536,1572.48,Germany,,,,
843,Rosetti Marino,YRM.MI,1150153724,302.672,Italy,,,,
844,Polenergia,PEP.WA,1147094096,14.8551,Poland,,,,
845,JOST Werke SE,JST.DE,1146831369,76.9685,Germany,,,,
846,CTT - Correios De Portugal,CTT.LS,1146237754,8.64271,Portugal,,,,
847,Neurones,NRO.PA,1144686030,47.056,France,,,,
848,Einhell Germany,EIN.DE,1142696724,100.615,Germany,,,,
849,Vitec Software Group,VIT-B.ST,1142108769,28.7473,Sweden,,,,
851,Frey SA,FREY.PA,1139084781,35.7058,France,,,,
854,Pharming Group,PHAR,1120971392,16.09,Netherlands,,,,
856,Voltalia,VLTSA.PA,1105442028,8.44171,France,,,,
861,Plejd AB,PLEJD.ST,1084662681,97.0292,Sweden,,,,
863,Dynavox Group,DYVOX.ST,1079931138,10.2312,Sweden,,,,
864,Inwido AB,INWI.ST,1076148557,18.5631,Sweden,,,,
865,Caisse Régionale de Crédit Agricole Mutuel Sud Rhône Alpes,CRSU.PA,1073876286,236.415,France,,,,
