Rank,Name,Symbol,marketcap,price (USD),country,page numbers,Report link,sector,industry
866,Juventus Turin,JUVE.MI,1063226468,2.80445,Italy,,,,
868,AMS-Osram,AMS.SW,1057628692,10.6216,Austria,,,,
869,Montepino Logística,MLMTP.PA,1057313316,12.2961,Spain,,,,
870,Gerresheimer,GXI.F,1053596579,30.5037,Germany,,,,
872,Curevac,CVAC,1049304960,4.66,Germany,,,,
874,Creades AB,CRED-A.ST,1044210104,7.69145,Sweden,,,,
875,Synsam,SYNSAM.ST,1040059250,7.29773,Sweden,,,,
876,BKS Bank,BKS.VI,1037624576,22.7004,Austria,,,,
880,HelloFresh,HFG.DE,1027019402,7.16481,Germany,,,,
882,Viridien,VIRI.PA,1025295382,142.705,France,,,,
883,Northern Data AG,NB2.DE,1022022135,15.1336,Germany,,,,
884,LuxExperience,LUXE,1019853696,7.43,Germany,,,,
886,Navigo Invest,NAVIGO-STAM.ST,1012545596,0.207354,Sweden,,,,
888,Nanobiotix,NBTX,1008888832,20.85,France,,,,
890,BFF Bank,BFF.MI,992041789,5.25183,Italy,,,,
891,Pierre et Vacances,VAC.PA,989466429,2.14235,France,,,,
893,Criteo,CRTO,981604288,19.19,France,,,,
894,NEUCA,NEU.WA,976501720,216.94,Poland,,,,
895,Safilo Group,SFL.MI,973690103,2.48286,Italy,,,,
896,BASSAC,BASS.PA,967805856,60.2979,France,,,,
897,Ålandsbanken,ALBAV.HE,964742512,62.6626,Finland,,,,
898,Asseco South Eastern Europe,ASE.WA,962890123,18.5549,Poland,,,,
899,Sto SE &amp; Co. KGaA,STO3.DE,960329176,149.444,Germany,,,,
900,GAG Immobilien,GWK3.HM,954503950,59.1156,Germany,,,,
901,Cancom,COK.F,950155234,30.149,Germany,,,,
903,Nagarro,NA9.DE,945085477,71.9437,Germany,,,,
904,GH Research,GHRS,940675776,15.165,Ireland,,,,
906,Caisse Régionale de Crédit Agricole Mutuel Loire Haute-Loire,CRLO.PA,938978690,115.867,France,,,,
907,Volati AB,VOLO.ST,938578350,10.5346,Sweden,,,,
908,Paul Hartmann,PHH2.F,936437078,263.656,Germany,,,,
910,Karnov Group,KAR.ST,921682119,8.55099,Sweden,,,,
912,Renta 4 Banco,R4.MC,914129695,22.4639,Spain,,,,
914,MedCap,MCAP.ST,906162271,60.3338,Sweden,,,,
915,Crédit Agricole Mutuel de la Touraine et du Poitou,CRTO.PA,905496581,144.833,France,,,,
917,Kri-Kri Milk Industry,KRI.AT,895586114,27.1341,Greece,,,,
920,Ascopiave,ASC.MI,872609524,4.03169,Italy,,,,
921,Core Laboratories,CLB,870349632,18.56,Netherlands,,,,
923,Sveafastigheter AB,SVEAF.ST,865524300,4.32762,Sweden,,,,
924,Bergman &amp; Beving,BERG-B.ST,864075152,32.4405,Sweden,,,,
927,Burelle,BUR.PA,858061290,489.477,France,,,,
928,innoscripta SE,1INN.DE,856131377,84.89,Germany,,,,
929,Mensch und Maschine,MUM.F,853622680,50.4848,Germany,,,,
931,EuroTeleSites,ETS.VI,848498443,5.10759,Austria,,,,
935,PSI Software,PSAN.DE,835316395,53.5588,Germany,,,,
937,Trustpilot Group,TRST.L,833459183,2.12137,Denmark,,,,
938,Patrizia Immobilien,P1Z.VI,827975009,9.57673,Germany,,,,
939,Citycon,CTY1S.HE,825604784,4.49752,Finland,,,,
940,Elior Group,ELIOR.PA,823440074,3.25372,France,,,,
941,Valneva SE,VALN,822856192,9.49,France,,,,
946,PNE AG,PNE3.DE,818744571,10.6881,Germany,,,,
947,Mips AB,MIPS.ST,816783821,30.8324,Sweden,,,,
949,Tsakos Energy Navigation,TEN,813144000,26.99,Greece,,,,
952,Admie Holding,ADMIE.AT,812532001,3.50556,Greece,,,,
953,Placoplatre,MLPLC.PA,810447801,620.714,France,,,,
955,Logistea AB,LOGI-A.ST,809908888,1.58044,Sweden,,,,
956,Groupe CRIT,CEN.PA,807179927,76.6139,France,,,,
957,Mutares,MUX.DE,797434795,37.302,Germany,,,,
958,Caisse régionale de Crédit Agricole Mutuel d'Ille-et-Vilaine,CIV.PA,796468591,131.828,France,,,,
960,Evli,EVLI.HE,785967157,29.676,Finland,,,,
961,FRoSTA AG,NLM.F,785908742,115.394,Germany,,,,
963,Archicom,ARH.WA,783707274,13.3976,Poland,,,,
965,Südwestdeutsche Salzwerke,SSH.F,764023738,72.7122,Germany,,,,
966,RVRC Holding,RVRC.ST,763944277,7.26446,Sweden,,,,
969,2G Energy AG,2GB.DE,759342612,42.3268,Germany,,,,
975,Better Collective A/S,BETCO-DKK.CO,743744709,12.7175,Denmark,,,,
976,MilDef Group,MILDEF.ST,741170627,15.7378,Sweden,,,,
978,Kaufman &amp; Broad,KOF.PA,733976274,37.4202,France,,,,
979,Musti Group,MUSTI.HE,730286021,21.8728,Finland,,,,
980,Autohellas,OTOEL.AT,727616227,15.1336,Greece,,,,
981,Wiit S.p.A.,WIIT.MI,725545875,29.0258,Italy,,,,
982,Momentum Group AB,MMGR-B.ST,719357379,14.5511,Sweden,,,,
984,Atal S.A.,1AT.WA,711753609,16.4527,Poland,,,,
985,SNP Schneider-Neureither &amp; Partner,SHF.DE,710114973,97.4226,Germany,,,,
986,Wild Bunch,WBAH.F,707693900,29.5578,Germany,,,,
987,Pharmanutra,PHN.MI,705307558,73.5398,Italy,,,,
988,Oeneo,SBT.PA,702896624,10.9246,France,,,,
989,Xvivo Perfusion AB,XVIVO.ST,702200766,22.2925,Sweden,,,,
991,DATAGROUP SE,D6H.DE,698253559,84.1807,Germany,,,,
993,Waga Energy,WAGA.PA,695565907,26.0109,France,,,,
995,Hypoport,HYQ.F,691852348,103.334,Germany,,,,
997,Audax Renovables,ADX.MC,686571554,1.52991,Spain,,,,
998,Equasens,EQS.PA,685992012,45.6373,France,,,,
999,Troax Group AB,TROAX.ST,683643216,11.4235,Sweden,,,,
1000,EuroGroup Laminations,EGLA.MI,678882473,4.17356,Italy,,,,
1001,Sligro Food,SLIGR.AS,674967183,15.2755,Netherlands,,,,
1002,Caisse Régionale de Crédit Agricole du Morbihan,CMO.PA,674859811,128.848,France,,,,
1004,Bahnhof AB,3B7.F,672210825,6.11256,Sweden,,,,
1005,Jensen-Group,JEN.BR,665887476,72.3575,Belgium,,,,
1006,Mühlbauer Holding,MUB.DE,664455989,46.8196,Germany,,,,
1008,X-FAB,XFAB.PA,662580936,5.07212,Belgium,,,,
1010,Boozt,BOOZT.ST,656471812,10.869,Sweden,,,,
1012,Société de la Tour Eiffel,EIFF.PA,648815412,4.88295,France,,,,
1015,Auto Partner,APR.WA,640688963,4.90498,Poland,,,,
1016,PIERER Mobility,PKTM.VI,639329141,18.917,Austria,,,,
1018,NRJ Group,NRG.PA,633726114,8.1816,France,,,,
1019,Laurent-Perrier,LPE.PA,633219176,108.063,France,,,,
1020,Miquel y Costas &amp; Miquel,MCM.MC,629699138,16.7888,Spain,,,,
1021,Viaplay Group,VPLAY-B.ST,626880297,0.137858,Sweden,,,,
1022,Marimekko,MEKKO.HE,626462817,15.441,Finland,,,,
1023,Hexatronic Group AB,HTRO.ST,622624732,3.02778,Sweden,,,,
1024,Flat Capital AB,FLAT-B.ST,618403068,1.24217,Sweden,,,,
1025,TINC NV,TINC.BR,616808904,12.7217,Belgium,,,,
1026,IDI,IDIP.PA,615798509,86.3088,France,,,,
1029,ADS-TEC Energy,ADSE,611446208,10.17,Ireland,,,,
1030,Energiekontor,EKT.DE,610522179,43.7456,Germany,,,,
1031,Credit Agricole Mutuel Toulouse 31,CAT31.PA,608297690,134.784,France,,,,
1032,Quadient,QDT.PA,606775137,17.9002,France,,,,
1033,Revenio,REG1V.HE,606414692,22.795,Finland,,,,
1034,Boiron,BOI.PA,605565319,34.8782,France,,,,
1035,Avax S.A.,AVAX.AT,600616215,4.04942,Greece,,,,
1036,"Amper, S.A.",AMP.MC,600540925,0.209269,Spain,,,,
1039,Norma Group,NOEJ.F,598220528,18.7751,Germany,,,,
1040,EPC Groupe,EXPL.PA,595262438,279.026,France,,,,
1042,Fiera Milano,FM.MI,592348539,8.34713,Italy,,,,
1046,Villeroy &amp; Boch,VIB3.DE,589242821,22.1092,Germany,,,,
1047,Yubico,YUBICO.ST,588544381,6.80974,Sweden,,,,
1050,BHG Group AB,BHG.ST,584424815,3.26069,Sweden,,,,
1051,Lumibird,LBIRD.PA,583214654,26.4838,France,,,,
1054,ASBISc Enterprises,ASB.WA,580231512,10.4546,Cyprus,,,,
1055,SCHMID Group,SHMD,579382912,10.42,Germany,,,,
1056,Jacquet Metals,JCQ.PA,578418134,28.4937,France,,,,
1057,Stabilus,STM.DE,571797108,23.1497,Luxembourg,,,,
1059,Rosenbauer International,ROS.VI,569212592,55.8052,Austria,,,,
1060,Acast AB,ACAST.ST,568654546,3.11651,Sweden,,,,
1062,John Mattson Fastighetsföretagen,JOMA.ST,559761732,7.38531,Sweden,,,,
1064,Nederman Holding,NMAN.ST,556317314,15.8376,Sweden,,,,
1068,eQ Oyj,EQV1V.HE,543414454,13.1237,Finland,,,,
1070,Malteries Franco-Belges,MALT.PA,542427554,1093.64,France,,,,
1072,Truecaller,TRUE-B.ST,532440563,1.58376,Sweden,,,,
1075,init innovation in traffic systems,IXX.DE,527197325,53.0858,Germany,,,,
1077,Groupe Guillin,ALGIL.PA,523499164,28.3164,France,,,,
1078,Acinque,AC5.MI,522641467,2.64838,Italy,,,,
1079,Attica Holdings,ATTICA.AT,520367909,2.13999,Greece,,,,
1080,Raisio plc,RAIVV.HE,515603624,3.26318,Finland,,,,
1081,Oma Säästöpankki,OMASP.HE,514010434,15.4883,Finland,,,,
1083,Nextensa,NEXTA.BR,513790013,50.8394,Belgium,,,,
1084,Aurelius Group,AR4.DE,513292829,19.24,Germany,,,,
1086,Groupe SAMSE,SAMS.PA,508570131,150.154,France,,,,
1087,Newron Pharmaceuticals,NWRN.SW,491745260,24.6353,Italy,,,,
1088,Murapol S.A.,MUR.WA,491731593,12.0522,Poland,,,,
1090,Wirtualna Polska (WP Holding),WPL.WA,488215414,16.3967,Poland,,,,
1091,Aeroporto G. Marconi Bologna,ADB.MI,486914817,13.4784,Italy,,,,
1092,Fastned,FAST.AS,485746957,25.1241,Netherlands,,,,
1094,Formycon AG,FYB.DE,480583297,27.1932,Germany,,,,
1095,Prothena,PRTA,479625152,8.91,Ireland,,,,
1096,Immobiliare Grande Distribuzione SIIQ,IGD.MI,477478601,4.32726,Italy,,,,
1097,Uzin Utz,UZU.DE,477116983,94.585,Germany,,,,
1098,Medios AG,ILM1.DE,476029899,19.2717,Germany,,,,
1099,Plastika Kritis,PLAKR.AT,472613299,17.2618,Greece,,,,
1100,Sygnity,SGN.WA,471610178,20.7411,Poland,,,,
1101,HOMAG Group,HG1.F,471122261,30.0307,Germany,,,,
1102,PlayWay,PLW.WA,469869381,71.1923,Poland,,,,
1104,Nyab AB,NYAB.ST,465742466,0.654356,Sweden,,,,
1106,Hamborner REIT,HABA.DE,461631677,5.6751,Germany,,,,
1107,Patrimoine et Commerce SA,PAT.PA,453821641,28.612,France,,,,
1109,Talgo S.A.,TLGO.MC,451390201,3.38141,Spain,,,,
1111,Globe Trade Centre,GTC.WA,445845219,0.776389,Poland,,,,
1112,XANO Industri,XANO-B.ST,443357707,7.47518,Sweden,,,,
1114,Delta Plus Group,ALDLT.PA,440280170,61.4803,France,,,,
1115,Seco S.p.A.,IOT.MI,437073776,3.29865,Italy,,,,
1116,Eisen- und Hüttenwerke,EIS.F,436982747,24.8286,Germany,,,,
1117,Fonciere Inea,INEA.PA,435019314,40.1986,France,,,,
1119,Borussia Dortmund,BVB.F,431390049,3.85434,Germany,,,,
1122,STEICO SE,ST5.DE,423769448,30.0899,Germany,,,,
1124,Bonduelle,BON.PA,421089363,13.0764,France,,,,
1125,Enento Group,ENENTO.HE,420327197,17.7583,Finland,,,,
1126,Aramis Group,ARAMI.PA,416957095,5.07803,France,,,,
1127,Creotech Instruments,CRI.WA,416815753,146.028,Poland,,,,
1130,eDreams ODIGEO,EDR.MC,411659465,3.84252,Spain,,,,
1131,Selectirente,SELER.PA,410832565,98.7231,France,,,,
1132,Alantra Partners,ALNT.MC,406835326,10.6408,Spain,,,,
1134,Ascencio,ASCE.BR,403963196,61.2438,Belgium,,,,
1135,TXT e-solutions,TXT.MI,403768616,31.8633,Italy,,,,
1136,PCC Rokita,PCR.WA,401762497,20.2366,Poland,,,,
1137,Mirbud S.A.,MRB.WA,401454677,3.6465,Poland,,,,
1140,2CRSI,AL2SI.PA,392759261,17.5692,France,,,,
1141,Fastighets AB Trianon,TRIAN-B.ST,392612811,2.12943,Sweden,,,,
1142,Baader Bank,BWB.DE,392317019,8.03973,Germany,,,,
1143,Bijou Brigitte,BIJ.DE,390696740,52.14,Germany,,,,
1144,Byggmax Group,BMAX.ST,388817998,6.63229,Sweden,,,,
1145,Gérard Perrier Industrie S.A.,PERR.PA,388459653,102.861,France,,,,
1146,PharmaSGP,PSG.DE,387716280,33.6779,Germany,,,,
1149,Simona,SIM0.F,383069291,63.8449,Germany,,,,
1151,Brinova Fastigheter,BRIN-B.ST,379235652,1.64698,Sweden,,,,
1152,Knowit,KNOW.ST,378564285,13.8635,Sweden,,,,
1153,Euroseas,ESEA,374853728,53.5,Greece,,,,
1154,Gaumont SA,GAM.PA,371982112,119.414,France,,,,
1156,Ercros,ECR.MC,370263654,4.04942,Spain,,,,
1158,Shoper,SHO.WA,369838807,13.1454,Poland,,,,
1159,VIB Vermögen,VIH1.F,369704921,11.1847,Germany,,,,
1160,Relais Group Oyj,RELAIS.HE,369451585,20.0402,Finland,,,,
1161,Generalfinance,GF.MI,368983389,29.2031,Italy,,,,
1163,JDC Group AG,JDC.DE,368355496,28.3755,Germany,,,,
1164,OVB Holding,O4B.DE,367319298,25.7744,Germany,,,,
1165,Cellectis,CLLS,364638016,3.57,France,,,,
1166,Eagle Football Group,EFG.PA,364010866,2.22275,France,,,,
1167,Equita Group,EQUI.MI,360991296,7.04658,Italy,,,,
1168,Stalprodukt,STP.WA,359440090,70.6318,Poland,,,,
1169,Inmobiliaria del Sur,ISUR.MC,358739341,19.6264,Spain,,,,
1170,Lubawa,LBW.WA,358006323,2.38242,Poland,,,,
1172,Mo-BRUK S.A.,MBR.WA,356428154,101.463,Poland,,,,
1173,Auna,AUNA,352301760,4.76,Luxembourg,,,,
1174,Celon Pharma,CLN.WA,350207644,6.50261,Poland,,,,
1176,Campine,CAMB.BR,347599913,231.733,Belgium,,,,
1178,Bredband2 i Skandinavien AB,BRE2.ST,344454462,0.359896,Sweden,,,,
1180,Intracom Holdings,INTRK.AT,338972965,4.08489,Greece,,,,
1181,Ecoener,ENER.MC,335202201,5.88792,Spain,,,,
1184,Deutsche Rohstoff,DR0.DE,333811121,68.9288,Germany,,,,
1185,Materialise NV,MTLS,326517664,5.51,Belgium,,,,
1186,Oatly,OTLY,324191936,10.69,Sweden,,,,
1187,Bourse Direct,BSD.PA,322174667,6.24261,France,,,,
1188,BAUER AG,B5A0.HM,320567668,7.44857,Germany,,,,
1190,Bourrelier Group,ALBOU.PA,319930392,51.5488,France,,,,
1191,Infotel SA,INF.PA,318178413,46.3467,France,,,,
1192,ElringKlinger,ZIL2.DE,317623955,5.01301,Germany,,,,
1193,Verve Group SE,VER.ST,314717721,1.57267,Sweden,,,,
1194,Enter Air,ENT.WA,314703735,17.9382,Poland,,,,
1195,Roche Bobois,RBO.PA,311461175,30.8584,France,,,,
1196,Brødrene A &amp; O Johansen,AOJ-B.CO,311000630,14.4032,Denmark,,,,
1197,Austriacard Holdings,ACAG.VI,310913244,8.52447,Austria,,,,
1198,EnviTec Biogas,ETG.DE,309009228,20.8087,Germany,,,,
1199,Amarin Corporation,AMRN,306692096,14.75,Ireland,,,,
1201,Neobo Fastigheter,NEOBO.ST,299783693,2.06178,Sweden,,,,
1202,Wawel,WWL.WA,296909500,229.834,Poland,,,,
1203,Unimot,UNT.WA,296406369,36.1567,Poland,,,,
1204,StealthGas,GASS,295804512,7.96,Greece,,,,
1206,kneat.com,FOBK.F,295187086,3.00307,Ireland,,,,
1208,LNA Santé,LNA.PA,293417003,28.612,France,,,,
1209,Funkwerk AG,FEW.F,292632373,36.3083,Germany,,,,
1211,Oryzon Genomics,ORY.MC,290874596,3.68882,Spain,,,,
1212,GDEV Inc.,GDEV,289718816,15.98,Cyprus,,,,
1214,Hydratec Industries,HYDRA.AS,288580890,222.275,Netherlands,,,,
1217,Cogelec SA,ALLEC.PA,286456814,34.5235,France,,,,
1218,Martifer SGPS,MAR.LS,285560072,2.92031,Portugal,,,,
1219,Eurobio Scientific,ALERS.PA,284502101,28.2573,France,,,,
1222,Text (LiveChat),TXT.WA,282630745,10.976,Poland,,,,
1223,Teract S.A.,TRACT.PA,282376889,4.04351,France,,,,
1224,Hexaom,ALHEX.PA,281177381,41.0262,France,,,,
1225,Groupe Pizzorno Environnement,GPE.PA,280542110,72.594,France,,,,
1227,TAKKT AG,TTK.DE,278819925,4.30362,Germany,,,,
1229,STINAG Stuttgart Invest,STG.F,277905553,17.7347,Germany,,,,
1230,Ernst Russ,HXCK.DE,277225846,8.2289,Germany,,,,
1232,Bank Ochrony Srodowiska,BOS.WA,274474539,2.9542,Poland,,,,
1233,technotrans,TTR1.DE,271961737,39.371,Germany,,,,
1234,Squirrel Media,SQRL.MC,271073829,2.82573,Spain,,,,
1235,Iberpapel Gestión,IBG.MC,270667984,24.8286,Spain,,,,
1237,Sino AG,XTP.DE,269180067,115.157,Germany,,,,
1238,Burgenland Holding,BHD.VI,268931347,89.6438,Austria,,,,
1239,Allgeier,AEIN.DE,267890533,23.2916,Germany,,,,
1240,centrotherm international,CTNK.F,267719864,12.6507,Germany,,,,
1241,The Italian Sea Group,TISG.MI,267569171,5.04848,Italy,,,,
1242,Transgene SA,TNG.PA,266845936,0.974226,France,,,,
1245,ZE PAK SA,ZEP.WA,265812941,5.23011,Poland,,,,
1248,Laboratorio Reig Jofre,RJF.MC,263680251,3.23954,Spain,,,,
1249,Lang &amp; Schwarz,LUS1.DE,263344531,27.9026,Germany,,,,
1251,"Prim, S.A.",PRM.MC,261563817,15.3701,Spain,,,,
1252,Neon Equity AG,D77.DE,261444735,5.81698,Germany,,,,
1253,Smartbroker Holding,SB1.DE,259912987,15.4883,Germany,,,,
1254,Prodware,ALPRO.PA,257397764,33.1048,France,,,,
1255,KlaraBo Sverige,KLARA-B.ST,253028808,1.64809,Sweden,,,,
1258,HMS Bergbau,HMU.DE,251367685,55.3322,Germany,,,,
1259,Dadelo,DAD.WA,251282800,21.5259,Poland,,,,
1260,Dustin Group,DUST.ST,251115757,0.184994,Sweden,,,,
1261,Bang &amp; Olufsen A/S,BO.CO,250351152,1.76004,Denmark,,,,
1262,cBrain,CBRAIN.CO,250184052,12.7888,Denmark,,,,
1266,Akwel SA,AKW.PA,246674623,9.29298,France,,,,
1267,Genfit,GNFT,244433360,4.85,France,,,,
1270,Green Landscaping Group,GREEN.ST,242900959,4.30322,Sweden,,,,
1271,Linedata Services,LIN.PA,242386328,49.4207,France,,,,
1272,Powersoft,PWS.MI,240710206,18.7397,Italy,,,,
1273,BEST S.A.,BST.WA,237883376,8.35249,Poland,,,,
1274,Frauenthal Holding,FKA.VI,237307397,27.4297,Austria,,,,
1275,Latécoère S.A.,LAT.PA,237103112,0.0186805,France,,,,
1276,Sidetrade,ALBFR.PA,235346801,166.706,France,,,,
1277,WALLIX Group,ALLIX.PA,234930456,34.8782,France,,,,
1279,Josef Manner &amp; Comp,MAN.VI,234629941,124.143,Austria,,,,
1281,Remedy Entertainment,REMEDY.HE,232666999,17.1199,Finland,,,,
1282,Cereno Scientific,CRNO-B.ST,232449828,0.745739,Sweden,,,,
1283,Sporting Clube de Portugal,SCP.LS,231651364,1.14684,Portugal,,,,
1284,Streamwide,ALSTW.PA,231536746,87.2547,France,,,,
1288,Eleving Group,OT8.F,228010844,1.8917,Luxembourg,,,,
1289,Admicom Oyj,ADMCM.HE,227185212,45.2826,Finland,,,,
1290,Italian Wine Brands,IWB.MI,225956798,24.3556,Italy,,,,
1291,Seanergy Maritime,SHIP,225287424,10.67,Greece,,,,
1292,ÖKOWORLD,VVV3.DE,223205282,31.686,Germany,,,,
1294,Exacompta Clairefontaine,ALEXA.PA,220730920,195.082,France,,,,
1295,ADM Hamburg,OEL.F,219709629,281.39,Germany,,,,
1296,Parrot S.A.,PARRO.PA,218023726,7.04658,France,,,,
1298,Hawesko,HAW.DE,216672315,24.1192,Germany,,,,
1299,Vista Alegre Atlantis,VAF.LS,214071832,1.2769,Portugal,,,,
1300,MotorK,MTRK.AS,213470253,4.46914,Italy,,,,
1302,La Française de l'Energie,FDE.PA,213016453,40.2577,France,,,,
1303,Bertrandt,BDT.DE,212914263,21.0688,Germany,,,,
1304,Digital Bros,DIB.MI,212170938,14.8735,Italy,,,,
1305,eVISO S.p.A.,EVISO.MI,212123589,9.10381,Italy,,,,
1306,Selvita,SLV.WA,210935175,11.4917,Poland,,,,
1307,trivago,TRVG,210565840,2.98,Germany,,,,
1308,LPKF Laser &amp; Electronics,LPK.DE,210557923,8.59541,Germany,,,,
1310,Nyxoah,NYXH,208698720,4.65,Belgium,,,,
1311,Detection Technology,DETEC.HE,207039565,14.127,Finland,,,,
1312,Brockhaus Technologies,BKHT.DE,206285216,19.7446,Germany,,,,
1313,lastminute.com,LMN.SW,204632062,19.1536,Netherlands,,,,
1315,Atland SAS,ATLD.PA,204488479,47.2925,France,,,,
1317,Arise AB,ARISE.ST,201742597,4.94649,Sweden,,,,
1319,Roularta Media Group,ROU.BR,201011042,16.3159,Belgium,,,,
1320,MAX Automation,MXHN.DE,200413208,4.8593,Germany,,,,
1322,TOYA S.A.,TOA.WA,199214536,2.69073,Poland,,,,
1323,Groupe Partouche,PARP.PA,199014145,20.6905,France,,,,
1324,All for One Group,A1OS.DE,198824029,41.1445,Germany,,,,
1325,Lubelski Wegiel Bogdanka,LWB.WA,197343293,5.80189,Poland,,,,
1326,Branicks Group,BRNK.DE,196613110,2.3528,Germany,,,,
1327,Aumann AG,AAG.DE,196584293,17.1199,Germany,,,,
1328,Carbios SAS,ALCRB.PA,196447959,11.6399,France,,,,
1329,Sabaf S.p.A.,SAB.MI,196183026,15.843,Italy,,,,
1330,Solocal Group,LOCAL.PA,196058231,5.48593,France,,,,
1331,Serviceware,SJJ.DE,195524960,18.6214,Germany,,,,
1332,UmweltBank,UBK.DE,190881063,4.5992,Germany,,,,
1333,Bastide Le Confort Médical,BLC.PA,190123589,26.0109,France,,,,
1334,Banque nationale de Belgique,BNB.BR,190115871,475.29,Belgium,,,,
1335,Fountaine Pajot,ALFPC.PA,189198774,113.502,France,,,,
1336,Ten Square Games,TEN.WA,188239733,29.5981,Poland,,,,
1337,Alan Allman Associates,AAA.PA,187795814,4.13809,France,,,,
1339,Deutsche Konsum REIT-AG,DKG.DE,187366568,2.03949,Germany,,,,
1340,Gobarto,GOB.WA,187007538,6.72683,Poland,,,,
1341,Orrön Energy,ORRON.ST,186925191,0.653801,Sweden,,,,
1342,029 Group,Z29.DE,186805395,37.3611,Germany,,,,
1343,Sensorion,ALSEN.PA,186796315,0.36297,France,,,,
1344,Lafinca Global Assets,YLFG.MC,186768034,4.94207,Spain,,,,
1346,Visiativ SA,ALVIV.PA,184832369,40.1999,France,,,,
1347,Capital B,ALCPB.PA,183469514,0.808702,France,,,,
1348,Koenig &amp; Bauer,SKB.DE,182870621,11.0664,Germany,,,,
1350,MDxHealth,MDXH,181316752,3.53,Belgium,,,,
1351,Fabasoft,FAA.DE,180922813,16.7888,Austria,,,,
1352,Vente-Unique.com,ALVU.PA,180826166,18.7988,France,,,,
1353,Byggmästare Anders J Ahlström,AJA-B.ST,180644652,6.21638,Sweden,,,,
1355,Intred,ITD.MI,179462723,11.3029,Italy,,,,
1356,Emak S.p.A.,EM.MI,179048214,1.09955,Italy,,,,
1357,Precia S.A.,ALPM.PA,178338656,32.9865,France,,,,
1358,Sport Lisboa e Benfica,SLBEN.LS,177843465,7.73232,Portugal,,,,
1359,EDAP TMS,EDAP,176864576,4.73,France,,,,
1361,Quirin Privatbank,QB7.DE,176567116,4.06716,Germany,,,,
1363,Entech SA,ALESE.PA,175380434,11.9177,France,,,,
